perturbation,ranking_metric,utility_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
missingness_mcar,rbo,utility_balanced_accuracy_drop,-0.17662420376250726,6.959338255388791e-06,0.02177238705089177,0.5824626749124856,640
missingness_mcar,rbo,fidelity_rmse_ratio,-0.30617288096557344,4.790332551658626e-07,-0.37921817292433607,2.565480003738718e-10,260
missingness_mcar,rbo,utility_rmse_ratio,-0.4156824924057017,2.7643366845125447e-12,-0.38034498545778717,2.2485900111932569e-10,260
missingness_mcar,ndcg_score,fidelity_accuracy_drop,-0.1253386664218464,0.0014871254846198227,-0.09116151638378713,0.0210815855272105,640
missingness_mcar,ndcg_score,utility_accuracy_drop,-0.12373743311156671,0.0017110692329698628,-0.09211365558915001,0.01976849417635221,640
missingness_mcar,ndcg_score,fidelity_balanced_accuracy_drop,-0.14866347303284871,0.00016028819732900412,-0.10790600502410294,0.006286029745606365,640
missingness_mcar,ndcg_score,utility_balanced_accuracy_drop,-0.14667209576801749,0.00019652303971892746,-0.10802911529480583,0.0062264467785836,640
missingness_mcar,ndcg_score,fidelity_rmse_ratio,-0.13237419014043855,0.03287693595295883,-0.3827004958083411,1.7041477374488027e-10,260
missingness_mcar,ndcg_score,utility_rmse_ratio,-0.2659680258283638,1.3833826256168561e-05,-0.3974375647514154,2.8582155585789564e-11,260
noise_injection,kendalltau,fidelity_accuracy_drop,-0.07302415410333495,0.06485805736159261,-0.02461789788767987,0.5341616663375947,640
noise_injection,kendalltau,utility_accuracy_drop,-0.011318237868712222,0.7750460942243231,0.020954179388193363,0.5967185500700953,640
noise_injection,kendalltau,fidelity_balanced_accuracy_drop,0.02782363768615556,0.48227479106988747,0.013479028395397314,0.7335972606857701,640
noise_injection,kendalltau,utility_balanced_accuracy_drop,0.011503476284894038,0.771465728953125,-0.03512507745349822,0.3750042655496102,640
noise_injection,kendalltau,fidelity_rmse_ratio,0.0044238283716439624,0.9434067231310366,-0.06775660574372577,0.27636137711001213,260
noise_injection,kendalltau,utility_rmse_ratio,0.07941017385865043,0.20185043068813077,0.0927314051592595,0.13589342599405302,260
noise_injection,weightedtau,fidelity_accuracy_drop,-0.09779447109053126,0.013318955757347052,-0.040189525296646454,0.310036193392615,640
noise_injection,weightedtau,utility_accuracy_drop,0.023202830702408632,0.5579281126659626,0.029466622677977995,0.4567812179419647,640
noise_injection,weightedtau,fidelity_balanced_accuracy_drop,-0.0025007870518279456,0.9496535203051778,0.00422617852551527,0.9150220081464725,640
noise_injection,weightedtau,utility_balanced_accuracy_drop,0.03779483980089586,0.3397728506168008,-0.022625842764572014,0.5677639347201,640
noise_injection,weightedtau,fidelity_rmse_ratio,0.0008776145711258312,0.9887638212089027,-0.07772095078393623,0.2116415056049978,260
noise_injection,weightedtau,utility_rmse_ratio,0.055569451272644975,0.3721770462288002,0.08404612191125377,0.17667469728325014,260
noise_injection,spearmanr,fidelity_accuracy_drop,-0.07509642091925141,0.05759422813879828,-0.02615896907569259,0.5088722417818963,640
noise_injection,spearmanr,utility_accuracy_drop,-0.007275860445930149,0.8542418020992127,0.013707334842556897,0.7292603837618019,640
noise_injection,spearmanr,fidelity_balanced_accuracy_drop,0.03209580197832408,0.4176021690438551,0.011476061677810545,0.7719953058728461,640
noise_injection,spearmanr,utility_balanced_accuracy_drop,0.027876363121627307,0.48144486201313375,-0.03565082776399713,0.3678937673486474,640
noise_injection,spearmanr,fidelity_rmse_ratio,-0.003594716026971508,0.9540003757293449,-0.07364468758544214,0.23666224511025266,260
noise_injection,spearmanr,utility_rmse_ratio,0.09537263866016879,0.12504778989016826,0.0765874463326222,0.2184000614528829,260
noise_injection,rbo,fidelity_accuracy_drop,-0.028546016210131468,0.47097190136990236,-0.008778572859053077,0.8245844838052604,640
noise_injection,rbo,utility_accuracy_drop,0.010100965408140525,0.7986895628993964,0.03982301758228804,0.3144727698036265,640
noise_injection,rbo,fidelity_balanced_accuracy_drop,0.03993978824465147,0.3130547626105343,0.01624483271020414,0.6816672721754313,640
noise_injection,rbo,utility_balanced_accuracy_drop,0.024614943797207852,0.5342107448084121,-0.011918064374218981,0.7634700778562855,640
noise_injection,rbo,fidelity_rmse_ratio,-0.04699445107824242,0.45053189725491044,-0.10716332801605902,0.08459950658562383,260
noise_injection,rbo,utility_rmse_ratio,-0.02857355333456236,0.6465154216093474,0.05205588624358235,0.40321204170108504,260
noise_injection,ndcg_score,fidelity_accuracy_drop,-0.08225265428674859,0.037497654236858406,-0.0395386365788712,0.31794375442888745,640
noise_injection,ndcg_score,utility_accuracy_drop,0.05600366018898795,0.15702918290839835,0.033041072099606814,0.4040138430088852,640
noise_injection,ndcg_score,fidelity_balanced_accuracy_drop,-0.003895283948578153,0.9216531956516125,0.0030299663394007777,0.9390188577890817,640
noise_injection,ndcg_score,utility_balanced_accuracy_drop,0.07794230857656018,0.048730027836465635,-0.018545856327859944,0.6395698767601556,640
noise_injection,ndcg_score,fidelity_rmse_ratio,0.003136101635099367,0.959863730656073,-0.0815343483543126,0.19000978136631325,260
noise_injection,ndcg_score,utility_rmse_ratio,0.05823883225077349,0.349611916085251,0.07794813984657176,0.21030516249858755,260
